title,studio,year,genre_ids,id,original_language,original_title,popularity,release_date,vote_average,vote_count,movie_id,primary_title,start_year,runtime_minutes,genres
Toy Story 3,BV,2010,"[16, 10751, 35]",10193,en,Toy Story 3,24.445,2010-06-17,7.7,8340,tt0435761,Toy Story 3,2010,103.0,"Adventure,Animation,Comedy"
Inception,WB,2010,"[28, 878, 12]",27205,en,Inception,27.92,2010-07-16,8.3,22186,tt1375666,Inception,2010,148.0,"Action,Adventure,Sci-Fi"
Shrek Forever After,P/DW,2010,"[35, 12, 14, 16, 10751]",10192,en,Shrek Forever After,15.041,2010-05-16,6.1,3843,tt0892791,Shrek Forever After,2010,93.0,"Adventure,Animation,Comedy"
The Twilight Saga: Eclipse,Sum.,2010,"[12, 14, 18, 10749]",24021,en,The Twilight Saga: Eclipse,20.34,2010-06-23,6.0,4909,tt1325004,The Twilight Saga: Eclipse,2010,124.0,"Adventure,Drama,Fantasy"
Iron Man 2,Par.,2010,"[12, 28, 878]",10138,en,Iron Man 2,28.515,2010-05-07,6.8,12368,tt1228705,Iron Man 2,2010,124.0,"Action,Adventure,Sci-Fi"
Tangled,BV,2010,"[16, 10751]",38757,en,Tangled,21.511,2010-11-24,7.5,6407,tt0398286,Tangled,2010,100.0,"Adventure,Animation,Comedy"
Despicable Me,Uni.,2010,"[16, 10751, 35]",20352,en,Despicable Me,23.673,2010-07-09,7.2,10057,tt1323594,Despicable Me,2010,95.0,"Animation,Comedy,Family"
How to Train Your Dragon,P/DW,2010,"[14, 12, 16, 10751]",10191,en,How to Train Your Dragon,28.734,2010-03-26,7.7,7610,tt0892769,How to Train Your Dragon,2010,98.0,"Action,Adventure,Animation"
The Chronicles of Narnia: The Voyage of the Dawn Treader,Fox,2010,"[12, 10751, 14]",10140,en,The Chronicles of Narnia: The Voyage of the Dawn Treader,17.382,2010-12-10,6.3,3196,tt0980970,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,113.0,"Adventure,Family,Fantasy"
The King's Speech,Wein.,2010,"[18, 36]",45269,en,The King's Speech,16.798,2010-09-06,7.7,5013,tt1504320,The King's Speech,2010,118.0,"Biography,Drama,History"
The Karate Kid,Sony,2010,"[28, 12, 18, 10751]",38575,en,The Karate Kid,12.256,2010-06-10,6.3,3140,tt1155076,The Karate Kid,2010,140.0,"Action,Drama,Family"
Prince of Persia: The Sands of Time,BV,2010,"[12, 14, 28, 10749]",9543,en,Prince of Persia: The Sands of Time,13.44,2010-05-27,6.2,4040,tt0473075,Prince of Persia: The Sands of Time,2010,116.0,"Action,Adventure,Fantasy"
Black Swan,FoxS,2010,"[18, 53]",44214,en,Black Swan,13.745,2010-12-03,7.6,8374,tt0947798,Black Swan,2010,108.0,"Drama,Thriller"
Megamind,P/DW,2010,"[16, 28, 35, 10751, 878]",38055,en,Megamind,22.855,2010-11-04,6.8,3635,tt1001526,Megamind,2010,95.0,"Action,Animation,Comedy"
Robin Hood,Uni.,2010,"[28, 12, 18]",20662,en,Robin Hood,15.444,2010-05-14,6.3,2569,tt0955308,Robin Hood,2010,140.0,"Action,Adventure,Drama"
Robin Hood,Uni.,2010,"[28, 12, 18]",20662,en,Robin Hood,15.444,2010-05-14,6.3,2569,tt2363363,Robin Hood,2013,92.0,"Action,Drama"
Robin Hood,Uni.,2010,"[28, 12, 18]",20662,en,Robin Hood,15.444,2010-05-14,6.3,2569,tt4532826,Robin Hood,2018,116.0,"Action,Adventure,Thriller"
Robin Hood,Uni.,2010,"[28, 12, 18]",20662,en,Robin Hood,15.444,2010-05-14,6.3,2569,tt8558276,Robin Hood,2017,60.0,"Action,Adventure,History"
Robin Hood,Uni.,2010,"[12, 28, 53]",375588,en,Robin Hood,39.975,2018-11-21,5.8,1194,tt0955308,Robin Hood,2010,140.0,"Action,Adventure,Drama"
Robin Hood,Uni.,2010,"[12, 28, 53]",375588,en,Robin Hood,39.975,2018-11-21,5.8,1194,tt2363363,Robin Hood,2013,92.0,"Action,Drama"
Robin Hood,Uni.,2010,"[12, 28, 53]",375588,en,Robin Hood,39.975,2018-11-21,5.8,1194,tt4532826,Robin Hood,2018,116.0,"Action,Adventure,Thriller"
Robin Hood,Uni.,2010,"[12, 28, 53]",375588,en,Robin Hood,39.975,2018-11-21,5.8,1194,tt8558276,Robin Hood,2017,60.0,"Action,Adventure,History"
The Last Airbender,Par.,2010,"[28, 12, 10751, 14]",10196,en,The Last Airbender,16.595,2010-07-01,4.6,2143,tt0938283,The Last Airbender,2010,103.0,"Action,Adventure,Family"
Little Fockers,Uni.,2010,"[35, 10749]",39451,en,Little Fockers,12.153,2010-12-21,5.6,1883,tt0970866,Little Fockers,2010,98.0,"Comedy,Romance"
Resident Evil: Afterlife,SGem,2010,"[28, 12, 27, 878]",35791,en,Resident Evil: Afterlife,0.667,2010-09-10,5.9,2119,tt1220634,Resident Evil: Afterlife,2010,96.0,"Action,Adventure,Horror"
Shutter Island,Par.,2010,"[18, 53, 9648]",11324,en,Shutter Island,18.06,2010-02-18,8.1,12625,tt1130884,Shutter Island,2010,138.0,"Mystery,Thriller"
Salt,Sony,2010,"[28, 9648, 53]",27576,en,Salt,13.025,2010-07-23,6.3,3240,tt0944835,Salt,2010,100.0,"Action,Mystery,Thriller"
Salt,Sony,2010,"[53, 80]",56893,en,Salt,0.632,2012-08-06,1.0,1,tt0944835,Salt,2010,100.0,"Action,Mystery,Thriller"
Sex and the City 2,WB (NL),2010,"[35, 18, 10749]",37786,en,Sex and the City 2,9.986,2010-05-27,5.9,809,tt1261945,Sex and the City 2,2010,146.0,"Comedy,Drama,Romance"
The Tourist,Sony,2010,"[28, 53, 10749]",37710,en,The Tourist,10.307,2010-12-10,6.1,3133,tt1243957,The Tourist,2010,103.0,"Action,Adventure,Thriller"
The Expendables,LGF,2010,"[53, 12, 28]",27578,en,The Expendables,21.517,2010-08-03,6.1,4647,tt1320253,The Expendables,2010,103.0,"Action,Adventure,Thriller"
Grown Ups,Sony,2010,[35],38365,en,Grown Ups,14.291,2010-06-24,6.1,3171,tt1375670,Grown Ups,2010,102.0,Comedy
True Grit,Par.,2010,"[18, 12, 37]",44264,en,True Grit,13.118,2010-12-22,7.2,2816,tt1403865,True Grit,2010,110.0,"Adventure,Drama,Western"
Gulliver's Travels,Fox,2010,"[35, 12, 10751, 14]",38745,en,Gulliver's Travels,10.768,2010-12-25,5.1,1282,tt1320261,Gulliver's Travels,2010,85.0,"Adventure,Comedy,Family"
The Social Network,Sony,2010,[18],37799,en,The Social Network,15.889,2010-10-01,7.2,6116,tt1285016,The Social Network,2010,120.0,"Biography,Drama"
Valentine's Day,WB (NL),2010,"[35, 10749]",32856,en,Valentine's Day,11.187,2010-02-11,5.8,1907,tt0817230,Valentine's Day,2010,125.0,"Comedy,Romance"
The Sorcerer's Apprentice,BV,2010,"[14, 12, 28, 35, 18]",27022,en,The Sorcerer's Apprentice,14.463,2010-07-13,5.9,2879,tt0963966,The Sorcerer's Apprentice,2010,109.0,"Action,Adventure,Family"
Due Date,WB,2010,"[35, 18]",41733,en,Due Date,12.445,2010-11-04,6.3,2973,tt1231583,Due Date,2010,95.0,"Adventure,Comedy"
Eat Pray Love,Sony,2010,[18],38167,en,Eat Pray Love,9.991,2010-08-12,6.0,1208,tt0879870,Eat Pray Love,2010,133.0,"Drama,Romance"
Yogi Bear,WB,2010,"[35, 10751, 16, 12]",41515,en,Yogi Bear,9.096,2010-12-17,5.3,387,tt1302067,Yogi Bear,2010,80.0,"Adventure,Animation,Comedy"
Red,Sum.,2010,[],409647,en,Red,0.6,2014-01-01,5.0,1,tt2294785,Red,2012,26.0,"Biography,Documentary,Drama"
Red,Sum.,2010,[],409647,en,Red,0.6,2014-01-01,5.0,1,tt4136848,Red,2014,82.0,"Documentary,History"
Red,Sum.,2010,[],409647,en,Red,0.6,2014-01-01,5.0,1,tt4170206,Red,2014,107.0,Drama
Red,Sum.,2010,[],409647,en,Red,0.6,2014-01-01,5.0,1,tt8851190,Red,2018,90.0,Drama
Paranormal Activity 2,Par.,2010,"[27, 53]",41436,en,Paranormal Activity 2,8.163,2010-10-21,5.7,1342,tt1536044,Paranormal Activity 2,2010,91.0,Horror
The A-Team,Fox,2010,"[53, 28, 12, 35, 80]",34544,en,The A-Team,17.097,2010-06-11,6.3,2703,tt0429493,The A-Team,2010,117.0,"Action,Adventure,Thriller"
The Other Guys,Sony,2010,"[28, 35, 80]",27581,en,The Other Guys,13.508,2010-08-06,6.2,2187,tt1386588,The Other Guys,2010,107.0,"Action,Comedy,Crime"
Unstoppable,Fox,2010,"[28, 53]",44048,en,Unstoppable,14.01,2010-11-12,6.4,1913,tt0477080,Unstoppable,2010,98.0,"Action,Thriller"
Unstoppable,Fox,2010,"[28, 53]",44048,en,Unstoppable,14.01,2010-11-12,6.4,1913,tt2951338,Unstoppable,2015,53.0,"Biography,Documentary,History"
Unstoppable,Fox,2010,"[28, 53]",44048,en,Unstoppable,14.01,2010-11-12,6.4,1913,tt3070502,Unstoppable,2013,65.0,Documentary
Unstoppable,Fox,2010,"[28, 53]",44048,en,Unstoppable,14.01,2010-11-12,6.4,1913,tt7098772,Unstoppable,2017,12.0,Documentary
Unstoppable,Fox,2010,"[28, 53]",44048,en,Unstoppable,14.01,2010-11-12,6.4,1913,tt9499562,Unstoppable,2017,52.0,Documentary
Unstoppable,Fox,2010,"[28, 53]",44048,en,Unstoppable,14.01,2010-11-12,6.4,1913,tt9906218,Unstoppable,2019,84.0,Documentary
Unstoppable,Fox,2010,[99],217664,en,Unstoppable,0.6,2013-09-24,1.6,4,tt0477080,Unstoppable,2010,98.0,"Action,Thriller"
